IATA,LATITUDE,LONGITUDE
ABQ,35.04022222,-106.6091944
ANC,61.17432028,-149.9961856
ATL,33.64044444,-84.42694444
AUS,30.19453278,-97.66987194
BDL,41.93887417,-72.68322833
BHM,33.56294306,-86.75354972
BNA,36.12447667,-86.67818222
BOS,42.3643475,-71.00517917
BUF,42.94052472,-78.73216667
BUR,34.20061917,-118.3584969
BWI,39.17540167,-76.66819833
CHS,32.89864639,-80.04050583
CLE,41.41089417,-81.84939667
CLT,35.21401111,-80.94312583
CMH,39.99798528,-82.89188278
CVG,39.04614278,-84.6621725
DAL,32.84711389,-96.85177222
DCA,38.85208333,-77.03772222
DEN,39.85840806,-104.6670019
DFW,32.89595056,-97.0372
DTW,42.21205889,-83.34883583
ELP,31.80666667,-106.3778056
EWR,40.69249722,-74.16866056
FLL,26.07258333,-80.15275
HNL,21.31869111,-157.9224072
HOU,29.64541861,-95.27888889
IAD,38.94453194,-77.45580972
IAH,29.98047222,-95.33972222
IND,39.71732917,-86.29438417
JAX,30.49405556,-81.68786111
JFK,40.63975111,-73.77892556
LAS,36.08036111,-115.1523333
LAX,33.94253611,-118.4080744
LGA,40.77724306,-73.87260917
LIT,34.72939611,-92.22424556
MCI,39.29760528,-94.71390556
MCO,28.42888889,-81.31602778
MDW,41.7859825,-87.75242444
MEM,35.04241667,-89.97666667
MIA,25.79325,-80.29055556
MKE,42.94722222,-87.89658333
MSP,44.88054694,-93.2169225
MSY,29.99338889,-90.25802778
OAK,37.72129083,-122.2207167
OGG,20.89864972,-156.4304578
OKC,35.39308833,-97.60073389
OMA,41.30251861,-95.89417306
ONT,34.056,-117.6011944
ORD,41.979595,-87.90446417
ORF,36.89461111,-76.20122222
PBI,26.68316194,-80.09559417
PDX,45.58872222,-122.5975
PHL,39.87195278,-75.24114083
PHX,33.43416667,-112.0080556
PIT,40.49146583,-80.23287083
PVD,41.72399917,-71.42822111
RDU,35.87763889,-78.78747222
RIC,37.50516667,-77.31966667
RNO,39.49857611,-119.7680647
RSW,26.53616667,-81.75516667
SAN,32.73355611,-117.1896567
SAT,29.53369444,-98.46977778
SDF,38.17438889,-85.736
SEA,47.44898194,-122.3093131
SFO,37.61900194,-122.3748433
SJC,37.36186194,-121.9290089
SJU,18.43941667,-66.00183333
SLC,40.78838778,-111.9777731
SMF,38.69542167,-121.5907669
SNA,33.67565861,-117.8682225
STL,38.74768694,-90.35998972
TPA,27.97547222,-82.53325
TUL,36.19837222,-95.88824167
TUS,32.11608333,-110.9410278
ABE,40.65236278,-75.44040167
ABI,32.41132,-99.68189722
ABR,45.44905556,-98.42183333
ABY,31.535515,-84.19447333
ACK,41.25305194,-70.06018139
ACT,31.61128833,-97.23051917
ACV,40.97811528,-124.1086189
ACY,39.45758333,-74.57716667
ADK,51.87796389,-176.6460306
ADQ,57.74996778,-152.4938553
AEX,31.32737167,-92.54855611
AGS,33.369955,-81.96449611
AKN,58.67680167,-156.6492175
ALB,42.74811944,-73.80297861
ALO,42.55708139,-92.40034361
AMA,35.2193725,-101.7059272
APN,45.0780675,-83.56028583
ART,43.99192222,-76.02173861
ASE,39.22316,-106.868845
ATW,44.25740806,-88.51947556
AVL,35.43619444,-82.54180556
AVP,41.33814944,-75.7242675
AZO,42.234875,-85.5520575
BET,60.77977639,-161.8379975
BFL,35.43359806,-119.0567681
BGM,42.20848278,-75.97961361
BGR,44.80744444,-68.82813889
BIL,45.8076625,-108.5428611
BIS,46.77411111,-100.7467222
BJI,47.50942417,-94.93372333
BLI,48.79275,-122.5375278
